layer,step,kappa_curv,spectral_norm_hessian,lipschitz_constant,gradient_norm,condition_number,timestamp_ms
layer4,75,0.102548,0.205096,0.939429,0.205096,0.939429,1350452008
layer4,76,0.136657,0.273313,0.939348,0.273313,0.939348,1350452010
layer4,77,0.0971408,0.194282,0.939308,0.194282,0.939308,1350452011
layer4,78,0.0919093,0.183819,0.936877,0.183819,0.936877,1350452013
layer4,79,0.111667,0.223334,0.93901,0.223334,0.93901,1350452014
layer4,80,0.117825,0.23565,0.938894,0.23565,0.938894,1350452016
layer4,81,0.112748,0.225495,0.938756,0.225495,0.938756,1350452018
layer4,82,0.179503,0.359007,0.938635,0.359007,0.938635,1350452019
layer4,83,0.129816,0.259631,0.938534,0.259631,0.938534,1350452021
layer4,84,0.0982543,0.196509,0.938447,0.196509,0.938447,1350452022
layer4,85,0.102655,0.20531,0.938335,0.20531,0.938335,1350452024
layer4,86,0.111642,0.223284,0.938172,0.223284,0.938172,1350452025
layer4,87,0.100757,0.201513,0.938161,0.201513,0.938161,1350452027
layer4,88,0.178165,0.35633,0.938168,0.35633,0.938168,1350452028
layer4,89,0.0960866,0.192173,0.938081,0.192173,0.938081,1350452030
layer4,90,0.127153,0.254307,0.938019,0.254307,0.938019,1350452031
layer4,91,0.100015,0.200029,0.937787,0.200029,0.937787,1350452033
layer4,92,0.128395,0.25679,0.937715,0.25679,0.937715,1350452034
layer4,93,0.107858,0.215715,0.937447,0.215715,0.937447,1350452036
layer4,94,0.0993284,0.198657,0.937232,0.198657,0.937232,1350452037
layer4,95,0.0778831,0.155766,0.936988,0.155766,0.936988,1350452039
layer4,96,0.129048,0.258096,0.936771,0.258096,0.936771,1350452040
layer4,97,0.0899631,0.179926,0.936507,0.179926,0.936507,1350452042
layer4,98,0.0908177,0.181635,0.936214,0.181635,0.936214,1350452043
layer4,99,0.105691,0.211382,0.935911,0.211382,0.935911,1350452045
layer2,0,0.120803,0.241606,0.872982,0.241606,0.872982,1350451894
layer2,1,0.108559,0.217118,0.853391,0.217118,0.853391,1350451896
layer2,2,0.122771,0.245543,0.866337,0.245543,0.866337,1350451898
layer2,3,0.113708,0.227416,0.872466,0.227416,0.872466,1350451900
layer2,4,0.105173,0.210346,0.827284,0.210346,0.827284,1350451901
layer2,5,0.100293,0.200586,0.833365,0.200586,0.833365,1350451903
layer2,6,0.101952,0.203905,0.873421,0.203905,0.873421,1350451904
layer2,7,0.103124,0.206249,0.854691,0.206249,0.854691,1350451906
layer2,8,0.14825,0.296499,0.8323,0.296499,0.8323,1350451907
layer2,9,0.0987325,0.197465,0.850266,0.197465,0.850266,1350451909
layer2,10,0.114327,0.228654,0.862766,0.228654,0.862766,1350451910
layer2,11,0.0979036,0.195807,0.852405,0.195807,0.852405,1350451912
layer2,12,0.13425,0.268499,0.847829,0.268499,0.847829,1350451913
layer2,13,0.112325,0.224649,0.871603,0.224649,0.871603,1350451915
layer2,14,0.115268,0.230535,0.877139,0.230535,0.877139,1350451917
layer2,15,0.111477,0.222954,0.874285,0.222954,0.874285,1350451918
layer2,16,0.113523,0.227045,0.866138,0.227045,0.866138,1350451920
layer2,17,0.117935,0.23587,0.829078,0.23587,0.829078,1350451921
layer2,18,0.105823,0.211646,0.822504,0.211646,0.822504,1350451923
layer2,19,0.0987718,0.197544,0.871571,0.197544,0.871571,1350451924
layer2,20,0.117164,0.234328,0.841562,0.234328,0.841562,1350451926
layer2,21,0.0976034,0.195207,0.869049,0.195207,0.869049,1350451927
layer2,22,0.104763,0.209526,0.876843,0.209526,0.876843,1350451929
layer2,23,0.118516,0.237031,0.829352,0.237031,0.829352,1350451930
layer2,24,0.13328,0.26656,0.878377,0.26656,0.878377,1350451932
layer2,25,0.0907036,0.181407,0.836898,0.181407,0.836898,1350451933
layer2,26,0.110889,0.221777,0.862114,0.221777,0.862114,1350451935
layer2,27,0.113405,0.22681,0.868668,0.22681,0.868668,1350451936
layer2,28,0.106268,0.212536,0.877191,0.212536,0.877191,1350451938
layer2,29,0.127913,0.255825,0.855407,0.255825,0.855407,1350451939
layer2,30,0.109345,0.218691,0.874321,0.218691,0.874321,1350451941
layer2,31,0.105088,0.210176,0.846573,0.210176,0.846573,1350451942
layer2,32,0.116634,0.233269,0.87922,0.233269,0.87922,1350451944
layer2,33,0.102875,0.20575,0.882141,0.20575,0.882141,1350451945
layer2,34,0.106797,0.213594,0.871058,0.213594,0.871058,1350451947
layer2,35,0.113397,0.226794,0.882901,0.226794,0.882901,1350451948
layer2,36,0.107994,0.215987,0.877207,0.215987,0.877207,1350451950
layer2,37,0.102085,0.204171,0.879851,0.204171,0.879851,1350451951
layer2,38,0.100404,0.200808,0.874205,0.200808,0.874205,1350451953
layer2,39,0.121056,0.242113,0.840065,0.242113,0.840065,1350451954
layer2,40,0.112365,0.224731,0.862679,0.224731,0.862679,1350451956
layer2,41,0.108276,0.216552,0.882155,0.216552,0.882155,1350451957
layer2,42,0.0971057,0.194211,0.881431,0.194211,0.881431,1350451959
layer2,43,0.102123,0.204246,0.820396,0.204246,0.820396,1350451960
layer2,44,0.0862145,0.172429,0.872505,0.172429,0.872505,1350451962
layer2,45,0.112963,0.225927,0.8415,0.225927,0.8415,1350451963
layer2,46,0.0965482,0.193096,0.883725,0.193096,0.883725,1350451965
layer2,47,0.120749,0.241498,0.883826,0.241498,0.883826,1350451966
layer2,48,0.0918699,0.18374,0.884131,0.18374,0.884131,1350451968
layer2,49,0.10274,0.20548,0.866331,0.20548,0.866331,1350451969
layer2,50,0.136889,0.273779,0.853375,0.273779,0.853375,1350451971
layer2,51,0.107353,0.214706,0.881516,0.214706,0.881516,1350451972
layer2,52,0.113448,0.226895,0.860222,0.226895,0.860222,1350451974
layer2,53,0.114157,0.228314,0.880956,0.228314,0.880956,1350451975
layer2,54,0.0937606,0.187521,0.879346,0.187521,0.879346,1350451977
layer2,55,0.11919,0.23838,0.824231,0.23838,0.824231,1350451978
layer2,56,0.10176,0.203519,0.878749,0.203519,0.878749,1350451980
layer2,57,0.087685,0.17537,0.833921,0.17537,0.833921,1350451981
layer2,58,0.122419,0.244837,0.835233,0.244837,0.835233,1350451983
layer2,59,0.0969773,0.193955,0.864996,0.193955,0.864996,1350451985
layer2,60,0.0964067,0.192813,0.884209,0.192813,0.884209,1350451986
layer2,61,0.0923943,0.184789,0.821818,0.184789,0.821818,1350451988
layer2,62,0.101754,0.203507,0.883857,0.203507,0.883857,1350451989
layer2,63,0.111073,0.222145,0.826211,0.222145,0.826211,1350451991
layer2,64,0.0922101,0.18442,0.885403,0.18442,0.885403,1350451992
layer2,65,0.102554,0.205109,0.867791,0.205109,0.867791,1350451994
layer2,66,0.0970222,0.194044,0.885388,0.194044,0.885388,1350451995
layer2,67,0.118739,0.237478,0.884469,0.237478,0.884469,1350451997
layer2,68,0.098335,0.19667,0.844615,0.19667,0.844615,1350451998
layer2,69,0.0971363,0.194273,0.834598,0.194273,0.834598,1350452000
layer2,70,0.0944434,0.188887,0.829781,0.188887,0.829781,1350452001
layer2,71,0.108915,0.217831,0.832661,0.217831,0.832661,1350452003
layer2,72,0.0993906,0.198781,0.787572,0.198781,0.787572,1350452004
layer2,73,0.0956805,0.191361,0.881494,0.191361,0.881494,1350452006
layer2,74,0.101375,0.20275,0.888208,0.20275,0.888208,1350452007
layer2,75,0.0951136,0.190227,0.872511,0.190227,0.872511,1350452009
layer2,76,0.0964359,0.192872,0.887178,0.192872,0.887178,1350452010
layer2,77,0.0886241,0.177248,0.889752,0.177248,0.889752,1350452012
layer2,78,0.0988105,0.197621,0.889435,0.197621,0.889435,1350452013
layer2,79,0.0954144,0.190829,0.886573,0.190829,0.886573,1350452015
layer2,80,0.108373,0.216745,0.886658,0.216745,0.886658,1350452016
layer2,81,0.093099,0.186198,0.884844,0.186198,0.884844,1350452018
layer2,82,0.102308,0.204616,0.85774,0.204616,0.85774,1350452019
layer2,83,0.099189,0.198378,0.862278,0.198378,0.862278,1350452021
layer2,84,0.092449,0.184898,0.891511,0.184898,0.891511,1350452022
layer2,85,0.0952504,0.190501,0.853691,0.190501,0.853691,1350452024
layer2,86,0.104874,0.209747,0.890026,0.209747,0.890026,1350452026
layer2,87,0.0949401,0.18988,0.892289,0.18988,0.892289,1350452027
layer2,88,0.114088,0.228175,0.887124,0.228175,0.887124,1350452028
layer2,89,0.0908245,0.181649,0.891246,0.181649,0.891246,1350452030
layer2,90,0.095679,0.191358,0.882074,0.191358,0.882074,1350452032
layer2,91,0.101554,0.203109,0.880235,0.203109,0.880235,1350452033
layer2,92,0.130419,0.260838,0.894887,0.260838,0.894887,1350452035
layer2,93,0.093811,0.187622,0.894401,0.187622,0.894401,1350452036
layer2,94,0.0994731,0.198946,0.873483,0.198946,0.873483,1350452038
layer2,95,0.100896,0.201793,0.870833,0.201793,0.870833,1350452039
layer2,96,0.105168,0.210337,0.870513,0.210337,0.870513,1350452041
layer2,97,0.0939865,0.187973,0.891731,0.187973,0.891731,1350452042
layer2,98,0.0909113,0.181823,0.89253,0.181823,0.89253,1350452044
layer2,99,0.0952718,0.190544,0.890084,0.190544,0.890084,1350452045
layer0,0,0.156468,0.312937,0.933384,0.312937,0.933384,1350451895
layer0,1,0.156343,0.312687,0.918351,0.312687,0.918351,1350451897
layer0,2,0.150702,0.301405,0.909453,0.301405,0.909453,1350451898
layer0,3,0.160575,0.32115,0.92722,0.32115,0.92722,1350451900
layer0,4,0.162268,0.324537,0.924599,0.324537,0.924599,1350451902
layer0,5,0.169303,0.338607,0.911365,0.338607,0.911365,1350451903
layer0,6,0.149774,0.299547,0.925905,0.299547,0.925905,1350451905
layer0,7,0.164606,0.329213,0.926287,0.329213,0.926287,1350451906
layer0,8,0.152601,0.305202,0.927169,0.305202,0.927169,1350451908
layer0,9,0.144097,0.288194,0.912419,0.288194,0.912419,1350451909
layer0,10,0.141107,0.282214,0.922001,0.282214,0.922001,1350451911
layer0,11,0.141022,0.282045,0.928688,0.282045,0.928688,1350451912
layer0,12,0.167219,0.334439,0.919031,0.334439,0.919031,1350451914
layer0,13,0.145845,0.291691,0.923632,0.291691,0.923632,1350451915
layer0,14,0.138814,0.277627,0.918931,0.277627,0.918931,1350451917
layer0,15,0.152192,0.304385,0.933877,0.304385,0.933877,1350451918
layer0,16,0.136549,0.273098,0.917191,0.273098,0.917191,1350451920
layer0,17,0.150022,0.300044,0.920051,0.300044,0.920051,1350451921
layer0,18,0.146421,0.292842,0.918307,0.292842,0.918307,1350451923
layer0,19,0.151067,0.302135,0.933457,0.302135,0.933457,1350451924
layer0,20,0.146807,0.293613,0.925877,0.293613,0.925877,1350451926
layer0,21,0.140643,0.281286,0.92137,0.281286,0.92137,1350451927
layer0,22,0.138904,0.277808,0.884615,0.277808,0.884615,1350451929
layer0,23,0.147276,0.294553,0.934538,0.294553,0.934538,1350451931
layer0,24,0.137902,0.275803,0.90827,0.275803,0.90827,1350451932
layer0,25,0.141971,0.283941,0.925235,0.283941,0.925235,1350451933
layer0,26,0.142649,0.285299,0.92378,0.285299,0.92378,1350451935
layer0,27,0.140493,0.280986,0.90356,0.280986,0.90356,1350451937
layer0,28,0.13982,0.279639,0.894029,0.279639,0.894029,1350451938
layer0,29,0.150961,0.301922,0.92793,0.301922,0.92793,1350451940
layer0,30,0.142233,0.284466,0.931015,0.284466,0.931015,1350451941
layer0,31,0.141604,0.283208,0.911948,0.283208,0.911948,1350451942
layer0,32,0.138318,0.276636,0.920358,0.276636,0.920358,1350451944
layer0,33,0.145866,0.291732,0.913426,0.291732,0.913426,1350451946
layer0,34,0.141254,0.282507,0.920347,0.282507,0.920347,1350451947
layer0,35,0.141501,0.283002,0.930323,0.283002,0.930323,1350451949
layer0,36,0.13687,0.273741,0.938713,0.273741,0.938713,1350451950
layer0,37,0.138675,0.27735,0.936947,0.27735,0.936947,1350451951
layer0,38,0.142988,0.285975,0.896469,0.285975,0.896469,1350451953
layer0,39,0.148756,0.297513,0.93524,0.297513,0.93524,1350451955
layer0,40,0.155588,0.311177,0.87819,0.311177,0.87819,1350451956
layer0,41,0.155261,0.310523,0.910411,0.310523,0.910411,1350451958
layer0,42,0.138555,0.277109,0.920155,0.277109,0.920155,1350451959
layer0,43,0.138844,0.277689,0.874813,0.277689,0.874813,1350451961
layer0,44,0.139394,0.278789,0.907306,0.278789,0.907306,1350451962
layer0,45,0.143927,0.287854,0.935109,0.287854,0.935109,1350451964
layer0,46,0.138025,0.276049,0.936432,0.276049,0.936432,1350451965
layer0,47,0.137697,0.275395,0.897717,0.275395,0.897717,1350451967
layer0,48,0.140048,0.280096,0.936437,0.280096,0.936437,1350451968
layer0,49,0.128242,0.256485,0.898371,0.256485,0.898371,1350451970
layer0,50,0.147919,0.295837,0.935509,0.295837,0.935509,1350451971
layer0,51,0.148365,0.296729,0.918797,0.296729,0.918797,1350451973
layer0,52,0.141421,0.282841,0.935105,0.282841,0.935105,1350451974
layer0,53,0.143573,0.287145,0.939586,0.287145,0.939586,1350451976
layer0,54,0.129713,0.259427,0.92145,0.259427,0.92145,1350451977
layer0,55,0.141939,0.283878,0.91729,0.283878,0.91729,1350451979
layer0,56,0.138267,0.276535,0.939495,0.276535,0.939495,1350451980
layer0,57,0.130005,0.26001,0.905847,0.26001,0.905847,1350451982
layer0,58,0.130273,0.260547,0.935024,0.260547,0.935024,1350451983
layer0,59,0.136053,0.272106,0.906272,0.272106,0.906272,1350451985
layer0,60,0.133556,0.267112,0.941123,0.267112,0.941123,1350451986
layer0,61,0.124654,0.249307,0.935728,0.249307,0.935728,1350451988
layer0,62,0.131653,0.263306,0.906594,0.263306,0.906594,1350451989
layer0,63,0.130695,0.26139,0.918812,0.26139,0.918812,1350451991
layer0,64,0.144114,0.288229,0.931945,0.288229,0.931945,1350451992
layer0,65,0.122738,0.245476,0.932167,0.245476,0.932167,1350451994
layer0,66,0.137862,0.275724,0.912366,0.275724,0.912366,1350451995
layer0,67,0.132363,0.264725,0.916286,0.264725,0.916286,1350451997
layer0,68,0.13628,0.272559,0.93507,0.272559,0.93507,1350451998
layer0,69,0.130768,0.261536,0.93405,0.261536,0.93405,1350452000
layer0,70,0.144991,0.289982,0.921489,0.289982,0.921489,1350452001
layer0,71,0.141912,0.283824,0.94161,0.283824,0.94161,1350452003
layer0,72,0.130135,0.26027,0.901722,0.26027,0.901722,1350452005
layer0,73,0.127664,0.255327,0.933592,0.255327,0.933592,1350452006
layer0,74,0.140637,0.281275,0.918226,0.281275,0.918226,1350452008
layer0,75,0.129047,0.258093,0.921638,0.258093,0.921638,1350452009
layer0,76,0.125695,0.251391,0.918712,0.251391,0.918712,1350452011
layer0,77,0.131143,0.262285,0.912122,0.262285,0.912122,1350452012
layer0,78,0.136476,0.272952,0.92823,0.272952,0.92823,1350452014
layer0,79,0.13603,0.272061,0.942694,0.272061,0.942694,1350452015
